City1,City2,Weight
Adelanto,Agoura Hills,174.822
Adelanto,Alameda,641.482
Adelanto,Albany,650.25
Adelanto,Alhambra,127.547
Adelanto,Aliso Viejo,148.118
Adelanto,Alturas,951.619
Adelanto,Amador City,647.646
Adelanto,American Canyon,673.757
Adelanto,Anaheim,126.23
Adelanto,Anderson,889.69
Adelanto,Angels,573.946
Adelanto,Antioch,610.622
Adelanto,Apple Valley,25.67
Adelanto,Arcadia,114.514
Adelanto,Arcata,1091.759
Adelanto,Arroyo Grande,371.81
Adelanto,Artesia,142.572
Adelanto,Arvin,184.532
Adelanto,Atascadero,394.222
Adelanto,Atherton,623.346
Adelanto,Atwater,479.213
Adelanto,Auburn,697.449
Adelanto,Avenal,341.041
Adelanto,Azusa,100.844
Adelanto,Bakersfield,203.077
Adelanto,Baldwin Park,112.99
Adelanto,Banning,115.763
Adelanto,Barstow,63.366
Adelanto,Beaumont,106.163
Adelanto,Bell Gardens,136.71
Adelanto,Bellflower,138.657
Adelanto,Belmont,630.437
Adelanto,Belvedere,682.43
Adelanto,Benicia,650.793
Adelanto,Berkeley,645.627
Adelanto,Beverly Hills,158.433
Adelanto,Big Bear Lake,89.478
Adelanto,Biggs,748.384
Adelanto,Bishop,352.044
Adelanto,Blue Lake,1105.286
Adelanto,Blythe,340.159
Adelanto,Bradbury,107.299
Adelanto,Brawley,300.6
Adelanto,Brea,116.755
Adelanto,Brentwood,596.179
Adelanto,Brisbane,666.403
Adelanto,Buellton,324.226
Adelanto,Buena Park,133.489
Adelanto,Burbank,140.331
Adelanto,Burlingame,639.897
Adelanto,Calabasas,163.58
Adelanto,Calexico,337.839
Adelanto,California,380.415
Adelanto,Calimesa,94.524
Adelanto,Calipatria,290.553
Adelanto,Calistoga,730.97
Adelanto,Camarillo,203.204
Adelanto,Campbell,592.976
Adelanto,Canyon Lake,122.47
Adelanto,Capitola,584.272
Adelanto,Carlsbad,207.57
Adelanto,Carmel-by-the-Sea,562.52
Adelanto,Carpinteria,237.856
Adelanto,Carson,159.926
Adelanto,Cathedral City,165.056
Adelanto,Ceres,522.54
Adelanto,Cerritos,139.986
Adelanto,Chico,793.243
Adelanto,Chino,90.31
Adelanto,Chino Hills,96.874
Adelanto,Chowchilla,439.1
Adelanto,Chula Vista,245.687
Adelanto,Citrus Heights,667.618
Adelanto,Claremont,85.108
Adelanto,Clayton,617.497
Adelanto,Clearlake,810.579
Adelanto,Cloverdale,782.653
Adelanto,Clovis,392.253
Adelanto,Coachella,193.759
Adelanto,Coalinga,365.085
Adelanto,Colfax,723.792
Adelanto,Colma,659.939
Adelanto,Colton,69.239
Adelanto,Colusa,753.517
Adelanto,Commerce,136.423
Adelanto,Compton,146.857
Adelanto,Concord,639.124
Adelanto,Corcoran,308.584
Adelanto,Corning,831.958
Adelanto,Corona,93.882
Adelanto,Coronado,243.461
Adelanto,Corte Madera,673.927
Adelanto,Costa Mesa,142.367
Adelanto,Cotati,719.455
Adelanto,Covina,101.397
Adelanto,Crescent City,1215.135
Adelanto,Cudahy,141.777
Adelanto,Culver City,155.239
Adelanto,Cupertino,600.191
Adelanto,Cypress,140.823
Adelanto,Daly City,669.033
Adelanto,Dana Point,162.81
Adelanto,Danville,617.002
Adelanto,Davis,669.684
Adelanto,Del Mar,231.598
